"","p","Zc","T","Z"
"2682",2.4,0.316,1.3,0.665
"2683",2.4,0.316,1.4,0.756
"2684",2.4,0.316,1.5,0.819
"2685",2.4,0.316,1.6,0.865
"2686",2.4,0.316,1.7,0.899
"2687",2.4,0.316,1.8,0.925
"2688",2.4,0.316,1.9,0.945
"2689",2.6,0.244,0.5,0.405
"2690",2.6,0.244,0.6,0.358
"2691",2.6,0.244,0.7,0.33
"2692",2.6,0.244,0.8,0.316
"2693",2.6,0.244,0.9,0.311
"2694",2.6,0.244,0.92,0.312
"2695",2.6,0.244,0.94,0.314
"2696",2.6,0.244,0.96,0.317
"2697",2.6,0.244,0.98,0.32
"2698",2.6,0.244,1,0.325
"2699",2.6,0.244,1.01,0.328
"2700",2.6,0.244,1.02,0.332
"2701",2.6,0.244,1.03,0.335
"2702",2.6,0.244,1.04,0.339
"2703",2.6,0.244,1.05,0.344
"2704",2.6,0.244,1.06,0.349
"2705",2.6,0.244,1.07,0.356
"2706",2.6,0.244,1.08,0.362
"2707",2.6,0.244,1.09,0.37
"2708",2.6,0.244,1.1,0.379
"2709",2.6,0.244,1.12,0.399
"2710",2.6,0.244,1.14,0.422
"2711",2.6,0.244,1.16,0.45
"2712",2.6,0.244,1.18,0.481
"2713",2.6,0.244,1.2,0.513
"2714",2.6,0.244,1.3,0.654
"2715",2.6,0.244,1.4,0.753
"2716",2.6,0.244,1.5,0.822
"2717",2.6,0.244,1.6,0.872
"2718",2.6,0.244,1.7,0.909
"2719",2.6,0.244,1.8,0.936
"2724",2.6,0.278,0.8,0.392
"2725",2.6,0.278,0.9,0.383
"2726",2.6,0.278,0.92,0.384
"2727",2.6,0.278,0.94,0.385
"2728",2.6,0.278,0.96,0.386
"2729",2.6,0.278,0.98,0.389
"2730",2.6,0.278,1,0.393
"2731",2.6,0.278,1.01,0.396
"2732",2.6,0.278,1.02,0.398
"2733",2.6,0.278,1.03,0.402
"2734",2.6,0.278,1.04,0.405
"2735",2.6,0.278,1.05,0.41
"2736",2.6,0.278,1.06,0.415
"2737",2.6,0.278,1.07,0.42
"2738",2.6,0.278,1.08,0.429
"2739",2.6,0.278,1.09,0.434
"2740",2.6,0.278,1.1,0.443
"2741",2.6,0.278,1.12,0.463
"2742",2.6,0.278,1.14,0.485
"2743",2.6,0.278,1.16,0.506
"2744",2.6,0.278,1.18,0.534
"2745",2.6,0.278,1.2,0.558
"2746",2.6,0.278,1.3,0.67
"2747",2.6,0.278,1.4,0.757
"2748",2.6,0.278,1.5,0.82
"2764",2.6,0.316,1.02,0.416
"2765",2.6,0.316,1.03,0.419
"2766",2.6,0.316,1.04,0.422
"2767",2.6,0.316,1.05,0.425
"2768",2.6,0.316,1.06,0.429
"2769",2.6,0.316,1.07,0.434
"2770",2.6,0.316,1.08,0.439
"2771",2.6,0.316,1.09,0.444
"2772",2.6,0.316,1.1,0.45
"2773",2.6,0.316,1.12,0.464
"2774",2.6,0.316,1.14,0.48
"2775",2.6,0.316,1.16,0.499
"2776",2.6,0.316,1.18,0.519
"2777",2.6,0.316,1.2,0.541
"2778",2.6,0.316,1.3,0.654
"2779",2.6,0.316,1.4,0.745
"2780",2.6,0.316,1.5,0.811
"2781",2.6,0.316,1.6,0.859
"2782",2.6,0.316,1.7,0.895
"2783",2.6,0.316,1.8,0.922
"2784",2.6,0.316,1.9,0.944
"2785",2.8,0.244,0.5,0.436
"2786",2.8,0.244,0.6,0.385
"2787",2.8,0.244,0.7,0.355
"2788",2.8,0.244,0.8,0.338
"2789",2.8,0.244,0.9,0.333
"2790",2.8,0.244,0.92,0.334
"2791",2.8,0.244,0.94,0.335
"2792",2.8,0.244,0.96,0.338
"2793",2.8,0.244,0.98,0.341
"2794",2.8,0.244,1,0.346
"2795",2.8,0.244,1.01,0.348
"2796",2.8,0.244,1.02,0.351
"2797",2.8,0.244,1.03,0.355
"2798",2.8,0.244,1.04,0.358
"2799",2.8,0.244,1.05,0.363
"2800",2.8,0.244,1.06,0.367
"2801",2.8,0.244,1.07,0.373
"2802",2.8,0.244,1.08,0.378
"2803",2.8,0.244,1.09,0.385
"2804",2.8,0.244,1.1,0.392
"2805",2.8,0.244,1.12,0.409
"2806",2.8,0.244,1.14,0.429
"2807",2.8,0.244,1.16,0.451
"2808",2.8,0.244,1.18,0.478
"2809",2.8,0.244,1.2,0.506
"2810",2.8,0.244,1.3,0.641
"2811",2.8,0.244,1.4,0.741
"2812",2.8,0.244,1.5,0.813
"2813",2.8,0.244,1.6,0.866
"2814",2.8,0.244,1.7,0.905
"2815",2.8,0.244,1.8,0.934
"2820",2.8,0.278,0.8,0.421
"2821",2.8,0.278,0.9,0.411
"2822",2.8,0.278,0.92,0.411
"2823",2.8,0.278,0.94,0.411
"2824",2.8,0.278,0.96,0.413
"2825",2.8,0.278,0.98,0.415
"2826",2.8,0.278,1,0.418
"2827",2.8,0.278,1.01,0.42
"2828",2.8,0.278,1.02,0.423
"2829",2.8,0.278,1.03,0.426
"2830",2.8,0.278,1.04,0.429
"2831",2.8,0.278,1.05,0.432
"2832",2.8,0.278,1.06,0.436
"2833",2.8,0.278,1.07,0.441
"2834",2.8,0.278,1.08,0.447
"2835",2.8,0.278,1.09,0.452
"2836",2.8,0.278,1.1,0.458
"2837",2.8,0.278,1.12,0.473
"2838",2.8,0.278,1.14,0.49
"2839",2.8,0.278,1.16,0.509
"2840",2.8,0.278,1.18,0.529
"2841",2.8,0.278,1.2,0.551
"2842",2.8,0.278,1.3,0.657
"2843",2.8,0.278,1.4,0.745
"2844",2.8,0.278,1.5,0.812
"2860",2.8,0.316,1.02,0.441
"2861",2.8,0.316,1.03,0.444
"2862",2.8,0.316,1.04,0.446
"2863",2.8,0.316,1.05,0.449
"2864",2.8,0.316,1.06,0.452
"2865",2.8,0.316,1.07,0.457
"2866",2.8,0.316,1.08,0.461
"2867",2.8,0.316,1.09,0.465
"2868",2.8,0.316,1.1,0.47
"2869",2.8,0.316,1.12,0.482
"2870",2.8,0.316,1.14,0.495
"2871",2.8,0.316,1.16,0.511
"2872",2.8,0.316,1.18,0.528
"2873",2.8,0.316,1.2,0.546
"2874",2.8,0.316,1.3,0.648
"2875",2.8,0.316,1.4,0.737
"2876",2.8,0.316,1.5,0.805
"2877",2.8,0.316,1.6,0.854
"2878",2.8,0.316,1.7,0.891
"2879",2.8,0.316,1.8,0.92
"2880",2.8,0.316,1.9,0.943
"2881",3,0.244,0.5,0.467
"2882",3,0.244,0.6,0.412
"2883",3,0.244,0.7,0.379
"2884",3,0.244,0.8,0.36
"2885",3,0.244,0.9,0.355
"2886",3,0.244,0.92,0.355
"2887",3,0.244,0.94,0.357
"2888",3,0.244,0.96,0.359
"2889",3,0.244,0.98,0.362
"2890",3,0.244,1,0.366
"2891",3,0.244,1.01,0.368
"2892",3,0.244,1.02,0.371
"2893",3,0.244,1.03,0.374
"2894",3,0.244,1.04,0.377
"2895",3,0.244,1.05,0.381
"2896",3,0.244,1.06,0.385
"2897",3,0.244,1.07,0.39
"2898",3,0.244,1.08,0.395
"2899",3,0.244,1.09,0.401
"2900",3,0.244,1.1,0.407
"2901",3,0.244,1.12,0.422
"2902",3,0.244,1.14,0.438
"2903",3,0.244,1.16,0.457
"2904",3,0.244,1.18,0.48
"2905",3,0.244,1.2,0.504
"2906",3,0.244,1.3,0.631
"2907",3,0.244,1.4,0.732
"2908",3,0.244,1.5,0.805
"2909",3,0.244,1.6,0.86
"2910",3,0.244,1.7,0.901
"2911",3,0.244,1.8,0.931
"2916",3,0.278,0.8,0.45
"2917",3,0.278,0.9,0.438
"2918",3,0.278,0.92,0.437
"2919",3,0.278,0.94,0.438
"2920",3,0.278,0.96,0.439
"2921",3,0.278,0.98,0.44
"2922",3,0.278,1,0.443
"2923",3,0.278,1.01,0.445
"2924",3,0.278,1.02,0.447
"2925",3,0.278,1.03,0.449
"2926",3,0.278,1.04,0.452
"2927",3,0.278,1.05,0.455
"2928",3,0.278,1.06,0.458
"2929",3,0.278,1.07,0.462
"2930",3,0.278,1.08,0.466
"2931",3,0.278,1.09,0.47
"2932",3,0.278,1.1,0.475
"2933",3,0.278,1.12,0.486
"2934",3,0.278,1.14,0.498
"2935",3,0.278,1.16,0.513
"2936",3,0.278,1.18,0.53
"2937",3,0.278,1.2,0.548
"2938",3,0.278,1.3,0.648
"2939",3,0.278,1.4,0.737
"2940",3,0.278,1.5,0.805
"2956",3,0.316,1.02,0.466
"2957",3,0.316,1.03,0.468
"2958",3,0.316,1.04,0.471
"2959",3,0.316,1.05,0.473
"2960",3,0.316,1.06,0.476
"2961",3,0.316,1.07,0.479
"2962",3,0.316,1.08,0.483
"2963",3,0.316,1.09,0.486
"2964",3,0.316,1.1,0.491
"2965",3,0.316,1.12,0.501
"2966",3,0.316,1.14,0.512
"2967",3,0.316,1.16,0.525
"2968",3,0.316,1.18,0.54
"2969",3,0.316,1.2,0.556
"2970",3,0.316,1.3,0.646
"2971",3,0.316,1.4,0.732
"2972",3,0.316,1.5,0.8
"2973",3,0.316,1.6,0.851
"2974",3,0.316,1.7,0.889
"2975",3,0.316,1.8,0.919
"2976",3,0.316,1.9,0.943
"2977",3.5,0.244,0.5,0.544
"2978",3.5,0.244,0.6,0.479
"2979",3.5,0.244,0.7,0.44
"2980",3.5,0.244,0.8,0.417
"2981",3.5,0.244,0.9,0.408
"2982",3.5,0.244,0.92,0.408
"2983",3.5,0.244,0.94,0.409
"2984",3.5,0.244,0.96,0.41
"2985",3.5,0.244,0.98,0.412
"2986",3.5,0.244,1,0.416
"2987",3.5,0.244,1.01,0.417
"2988",3.5,0.244,1.02,0.42
"2989",3.5,0.244,1.03,0.422
"2990",3.5,0.244,1.04,0.425
"2991",3.5,0.244,1.05,0.428
"2992",3.5,0.244,1.06,0.431
"2993",3.5,0.244,1.07,0.435
"2994",3.5,0.244,1.08,0.439
"2995",3.5,0.244,1.09,0.443
"2996",3.5,0.244,1.1,0.448
"2997",3.5,0.244,1.12,0.458
"2998",3.5,0.244,1.14,0.47
"2999",3.5,0.244,1.16,0.484
"3000",3.5,0.244,1.18,0.5
"3001",3.5,0.244,1.2,0.518
"3002",3.5,0.244,1.3,0.62
"3003",3.5,0.244,1.4,0.716
"3004",3.5,0.244,1.5,0.791
"3005",3.5,0.244,1.6,0.848
"3006",3.5,0.244,1.7,0.893
"3007",3.5,0.244,1.8,0.927
"3012",3.5,0.278,0.8,0.52
"3013",3.5,0.278,0.9,0.504
"3014",3.5,0.278,0.92,0.502
"3015",3.5,0.278,0.94,0.502
"3016",3.5,0.278,0.96,0.502
"3017",3.5,0.278,0.98,0.502
"3018",3.5,0.278,1,0.504
"3019",3.5,0.278,1.01,0.505
"3020",3.5,0.278,1.02,0.507
"3021",3.5,0.278,1.03,0.508
"3022",3.5,0.278,1.04,0.51
"3023",3.5,0.278,1.05,0.512
"3024",3.5,0.278,1.06,0.515
"3025",3.5,0.278,1.07,0.517
"3026",3.5,0.278,1.08,0.52
"3027",3.5,0.278,1.09,0.523
"3028",3.5,0.278,1.1,0.527
"3029",3.5,0.278,1.12,0.535
"3030",3.5,0.278,1.14,0.545
"3031",3.5,0.278,1.16,0.556
"3032",3.5,0.278,1.18,0.568
"3033",3.5,0.278,1.2,0.582
"3034",3.5,0.278,1.3,0.661
"3035",3.5,0.278,1.4,0.739
"3036",3.5,0.278,1.5,0.803
"3052",3.5,0.316,1.02,0.528
"3053",3.5,0.316,1.03,0.53
"3054",3.5,0.316,1.04,0.531
"3055",3.5,0.316,1.05,0.533
"3056",3.5,0.316,1.06,0.535
"3057",3.5,0.316,1.07,0.537
"3058",3.5,0.316,1.08,0.54
"3059",3.5,0.316,1.09,0.542
"3060",3.5,0.316,1.1,0.545
"3061",3.5,0.316,1.12,0.552
"3062",3.5,0.316,1.14,0.56
"3063",3.5,0.316,1.16,0.569
"3064",3.5,0.316,1.18,0.579
"3065",3.5,0.316,1.2,0.59
"3066",3.5,0.316,1.3,0.658
"3067",3.5,0.316,1.4,0.731
"3068",3.5,0.316,1.5,0.796
"3069",3.5,0.316,1.6,0.849
"3070",3.5,0.316,1.7,0.887
"3071",3.5,0.316,1.8,0.919
"3072",3.5,0.316,1.9,0.945
"3073",4,0.244,0.5,0.62
"3074",4,0.244,0.6,0.545
"3075",4,0.244,0.7,0.5
"3076",4,0.244,0.8,0.473
"3077",4,0.244,0.9,0.461
"3078",4,0.244,0.92,0.46
"3079",4,0.244,0.94,0.46
"3080",4,0.244,0.96,0.461
"3081",4,0.244,0.98,0.462
"3082",4,0.244,1,0.464
"3083",4,0.244,1.01,0.466
"3084",4,0.244,1.02,0.468
"3085",4,0.244,1.03,0.469
"3086",4,0.244,1.04,0.471
"3087",4,0.244,1.05,0.474
"3088",4,0.244,1.06,0.476
"3089",4,0.244,1.07,0.479
"3090",4,0.244,1.08,0.482
"3091",4,0.244,1.09,0.486
"3092",4,0.244,1.1,0.49
"3093",4,0.244,1.12,0.498
"3094",4,0.244,1.14,0.507
"3095",4,0.244,1.16,0.518
"3096",4,0.244,1.18,0.53
"3097",4,0.244,1.2,0.544
"3098",4,0.244,1.3,0.625
"3099",4,0.244,1.4,0.712
"3100",4,0.244,1.5,0.785
"3101",4,0.244,1.6,0.843
"3102",4,0.244,1.7,0.888
"3103",4,0.244,1.8,0.924
"3108",4,0.278,0.8,0.59
"3109",4,0.278,0.9,0.569
"3110",4,0.278,0.92,0.567
"3111",4,0.278,0.94,0.565
"3112",4,0.278,0.96,0.564
"3113",4,0.278,0.98,0.564
"3114",4,0.278,1,0.565
"3115",4,0.278,1.01,0.565
"3116",4,0.278,1.02,0.566
"3117",4,0.278,1.03,0.567
"3118",4,0.278,1.04,0.568
"3119",4,0.278,1.05,0.57
"3120",4,0.278,1.06,0.571
"3121",4,0.278,1.07,0.573
"3122",4,0.278,1.08,0.575
"3123",4,0.278,1.09,0.577
"3124",4,0.278,1.1,0.58
"3125",4,0.278,1.12,0.585
"3126",4,0.278,1.14,0.592
"3127",4,0.278,1.16,0.599
"3128",4,0.278,1.18,0.608
"3129",4,0.278,1.2,0.618
"3130",4,0.278,1.3,0.676
"3131",4,0.278,1.4,0.743
"3132",4,0.278,1.5,0.804
"3148",4,0.316,1.02,0.59
"3149",4,0.316,1.03,0.591
"3150",4,0.316,1.04,0.591
"3151",4,0.316,1.05,0.592
"3152",4,0.316,1.06,0.593
"3153",4,0.316,1.07,0.595
"3154",4,0.316,1.08,0.597
"3155",4,0.316,1.09,0.598
"3156",4,0.316,1.1,0.6
"3157",4,0.316,1.12,0.605
"3158",4,0.316,1.14,0.61
"3159",4,0.316,1.16,0.617
"3160",4,0.316,1.18,0.624
"3161",4,0.316,1.2,0.632
"3162",4,0.316,1.3,0.684
"3163",4,0.316,1.4,0.744
"3164",4,0.316,1.5,0.8
"3165",4,0.316,1.6,0.851
"3166",4,0.316,1.7,0.891
"3167",4,0.316,1.8,0.923
"3168",4,0.316,1.9,0.948
"3169",4.5,0.244,0.5,0.696
"3170",4.5,0.244,0.6,0.611
"3171",4.5,0.244,0.7,0.56
"3172",4.5,0.244,0.8,0.528
"3173",4.5,0.244,0.9,0.513
"3174",4.5,0.244,0.92,0.511
"3175",4.5,0.244,0.94,0.511
"3176",4.5,0.244,0.96,0.511
"3177",4.5,0.244,0.98,0.511
"3178",4.5,0.244,1,0.513
"3179",4.5,0.244,1.01,0.514
"3180",4.5,0.244,1.02,0.515
"3181",4.5,0.244,1.03,0.516
"3182",4.5,0.244,1.04,0.518
"3183",4.5,0.244,1.05,0.52
"3184",4.5,0.244,1.06,0.522
"3185",4.5,0.244,1.07,0.524
"3186",4.5,0.244,1.08,0.526
"3187",4.5,0.244,1.09,0.529
"3188",4.5,0.244,1.1,0.532
"3189",4.5,0.244,1.12,0.539
"3190",4.5,0.244,1.14,0.546
"3191",4.5,0.244,1.16,0.555
"3192",4.5,0.244,1.18,0.564
"3193",4.5,0.244,1.2,0.575
"3194",4.5,0.244,1.3,0.641
"3195",4.5,0.244,1.4,0.717
"3196",4.5,0.244,1.5,0.786
"3197",4.5,0.244,1.6,0.842
"3198",4.5,0.244,1.7,0.888
"3199",4.5,0.244,1.8,0.925
"3204",4.5,0.278,0.8,0.659
"3205",4.5,0.278,0.9,0.633
"3206",4.5,0.278,0.92,0.63
"3207",4.5,0.278,0.94,0.627
"3208",4.5,0.278,0.96,0.626
"3209",4.5,0.278,0.98,0.624
"3210",4.5,0.278,1,0.624
"3211",4.5,0.278,1.01,0.624
"3212",4.5,0.278,1.02,0.624
"3213",4.5,0.278,1.03,0.625
"3214",4.5,0.278,1.04,0.625
"3215",4.5,0.278,1.05,0.626
"3216",4.5,0.278,1.06,0.627
"3217",4.5,0.278,1.07,0.628
"3218",4.5,0.278,1.08,0.63
"3219",4.5,0.278,1.09,0.631
"3220",4.5,0.278,1.1,0.633
"3221",4.5,0.278,1.12,0.637
"3222",4.5,0.278,1.14,0.642
"3223",4.5,0.278,1.16,0.648
"3224",4.5,0.278,1.18,0.654
"3225",4.5,0.278,1.2,0.662
"3226",4.5,0.278,1.3,0.709
"3227",4.5,0.278,1.4,0.764
"3228",4.5,0.278,1.5,0.818
"3244",4.5,0.316,1.02,0.65
"3245",4.5,0.316,1.03,0.651
"3246",4.5,0.316,1.04,0.651
"3247",4.5,0.316,1.05,0.651
"3248",4.5,0.316,1.06,0.652
"3249",4.5,0.316,1.07,0.652
"3250",4.5,0.316,1.08,0.653
"3251",4.5,0.316,1.09,0.654
"3252",4.5,0.316,1.1,0.656
"3253",4.5,0.316,1.12,0.659
"3254",4.5,0.316,1.14,0.662
"3255",4.5,0.316,1.16,0.667
"3256",4.5,0.316,1.18,0.672
"3257",4.5,0.316,1.2,0.678
"3258",4.5,0.316,1.3,0.717
"3259",4.5,0.316,1.4,0.766
"3260",4.5,0.316,1.5,0.816
"3261",4.5,0.316,1.6,0.861
"3262",4.5,0.316,1.7,0.899
"3263",4.5,0.316,1.8,0.93
"3264",4.5,0.316,1.9,0.956
"3265",5,0.244,0.5,0.773
"3266",5,0.244,0.6,0.677
"3267",5,0.244,0.7,0.619
"3268",5,0.244,0.8,0.583
"3269",5,0.244,0.9,0.564
"3270",5,0.244,0.92,0.562
"3271",5,0.244,0.94,0.56
"3272",5,0.244,0.96,0.56
"3273",5,0.244,0.98,0.56
"3274",5,0.244,1,0.56
"3275",5,0.244,1.01,0.561
"3276",5,0.244,1.02,0.561
"3277",5,0.244,1.03,0.562
"3278",5,0.244,1.04,0.564
"3279",5,0.244,1.05,0.565
"3280",5,0.244,1.06,0.566
"3281",5,0.244,1.07,0.568
"3282",5,0.244,1.08,0.57
"3283",5,0.244,1.09,0.572
"3284",5,0.244,1.1,0.575
"3285",5,0.244,1.12,0.579
"3286",5,0.244,1.14,0.586
"3287",5,0.244,1.16,0.593
"3288",5,0.244,1.18,0.601
"3289",5,0.244,1.2,0.609
"3290",5,0.244,1.3,0.663
"3291",5,0.244,1.4,0.728
"3292",5,0.244,1.5,0.792
"3293",5,0.244,1.6,0.847
"3294",5,0.244,1.7,0.892
"3295",5,0.244,1.8,0.928
"3300",5,0.278,0.8,0.728
"3301",5,0.278,0.9,0.697
"3302",5,0.278,0.92,0.693
"3303",5,0.278,0.94,0.689
"3304",5,0.278,0.96,0.686
"3305",5,0.278,0.98,0.684
"3306",5,0.278,1,0.683
"3307",5,0.278,1.01,0.682
"3308",5,0.278,1.02,0.682
"3309",5,0.278,1.03,0.682
"3310",5,0.278,1.04,0.682
"3311",5,0.278,1.05,0.682
"3312",5,0.278,1.06,0.683
"3313",5,0.278,1.07,0.683
"3314",5,0.278,1.08,0.684
"3315",5,0.278,1.09,0.685
"3316",5,0.278,1.1,0.686
"3317",5,0.278,1.12,0.689
"3318",5,0.278,1.14,0.692
"3319",5,0.278,1.16,0.696
"3320",5,0.278,1.18,0.701
"3321",5,0.278,1.2,0.706
"3322",5,0.278,1.3,0.742
"3323",5,0.278,1.4,0.787
"3324",5,0.278,1.5,0.834
"3344",5,0.316,1.06,0.709
"3345",5,0.316,1.07,0.709
"3346",5,0.316,1.08,0.71
"3347",5,0.316,1.09,0.71
"3348",5,0.316,1.1,0.711
"3349",5,0.316,1.12,0.712
"3350",5,0.316,1.14,0.715
"3351",5,0.316,1.16,0.718
"3352",5,0.316,1.18,0.721
"3353",5,0.316,1.2,0.725
"3354",5,0.316,1.3,0.755
"3355",5,0.316,1.4,0.794
"3356",5,0.316,1.5,0.836
"3357",5,0.316,1.6,0.876
"3358",5,0.316,1.7,0.912
"3359",5,0.316,1.8,0.942
"3360",5,0.316,1.9,0.967
"3361",6,0.244,0.5,0.924
"3362",6,0.244,0.6,0.807
"3363",6,0.244,0.7,0.737
"3364",6,0.244,0.8,0.691
"3365",6,0.244,0.9,0.664
"3366",6,0.244,0.92,0.661
"3367",6,0.244,0.94,0.658
"3368",6,0.244,0.96,0.656
"3369",6,0.244,0.98,0.654
"3370",6,0.244,1,0.653
"3371",6,0.244,1.01,0.653
"3372",6,0.244,1.02,0.653
"3373",6,0.244,1.03,0.653
"3374",6,0.244,1.04,0.653
"3375",6,0.244,1.05,0.654
"3376",6,0.244,1.06,0.654
"3377",6,0.244,1.07,0.655
"3378",6,0.244,1.08,0.656
"3379",6,0.244,1.09,0.657
"3380",6,0.244,1.1,0.659
"3381",6,0.244,1.12,0.662
"3382",6,0.244,1.14,0.666
"3383",6,0.244,1.16,0.67
"3384",6,0.244,1.18,0.675
"3385",6,0.244,1.2,0.681
"3386",6,0.244,1.3,0.718
"3387",6,0.244,1.4,0.766
"3388",6,0.244,1.5,0.818
"3389",6,0.244,1.6,0.866
"3390",6,0.244,1.7,0.908
"3391",6,0.244,1.8,0.943
"3396",6,0.278,0.8,0.863
"3397",6,0.278,0.9,0.821
"3398",6,0.278,0.92,0.815
"3399",6,0.278,0.94,0.81
"3400",6,0.278,0.96,0.805
"3401",6,0.278,0.98,0.801
"3402",6,0.278,1,0.798
"3403",6,0.278,1.01,0.797
"3404",6,0.278,1.02,0.795
"3405",6,0.278,1.03,0.794
"3406",6,0.278,1.04,0.793
"3407",6,0.278,1.05,0.793
"3408",6,0.278,1.06,0.792
"3409",6,0.278,1.07,0.791
"3410",6,0.278,1.08,0.791
"3411",6,0.278,1.09,0.791
"3412",6,0.278,1.1,0.791
"3413",6,0.278,1.12,0.791
"3414",6,0.278,1.14,0.792
"3415",6,0.278,1.16,0.794
"3416",6,0.278,1.18,0.796
"3417",6,0.278,1.2,0.799
"3418",6,0.278,1.3,0.819
"3419",6,0.278,1.4,0.849
"3420",6,0.278,1.5,0.882
"3444",6,0.316,1.1,0.819
"3445",6,0.316,1.12,0.819
"3446",6,0.316,1.14,0.819
"3447",6,0.316,1.16,0.819
"3448",6,0.316,1.18,0.82
"3449",6,0.316,1.2,0.822
"3450",6,0.316,1.3,0.837
"3451",6,0.316,1.4,0.861
"3452",6,0.316,1.5,0.89
"3453",6,0.316,1.6,0.919
"3454",6,0.316,1.7,0.948
"3455",6,0.316,1.8,0.973
"3456",6,0.316,1.9,0.995
"3457",7,0.244,0.5,1.076
"3458",7,0.244,0.6,0.936
"3459",7,0.244,0.7,0.852
"3460",7,0.244,0.8,0.797
"3461",7,0.244,0.9,0.762
"3462",7,0.244,0.92,0.757
"3463",7,0.244,0.94,0.753
"3464",7,0.244,0.96,0.749
"3465",7,0.244,0.98,0.747
"3466",7,0.244,1,0.744
"3467",7,0.244,1.01,0.743
"3468",7,0.244,1.02,0.742
"3469",7,0.244,1.03,0.742
"3470",7,0.244,1.04,0.741
"3471",7,0.244,1.05,0.741
"3472",7,0.244,1.06,0.741
"3473",7,0.244,1.07,0.741
"3474",7,0.244,1.08,0.741
"3475",7,0.244,1.09,0.741
"3476",7,0.244,1.1,0.742
"3477",7,0.244,1.12,0.743
"3478",7,0.244,1.14,0.745
"3479",7,0.244,1.16,0.748
"3480",7,0.244,1.18,0.751
"3481",7,0.244,1.2,0.754
"3482",7,0.244,1.3,0.78
"3483",7,0.244,1.4,0.814
"3484",7,0.244,1.5,0.854
"3485",7,0.244,1.6,0.894
"3486",7,0.244,1.7,0.932
"3487",7,0.244,1.8,0.965
"3492",7,0.278,0.8,0.995
"3493",7,0.278,0.9,0.943
"3494",7,0.278,0.92,0.935
"3495",7,0.278,0.94,0.928
"3496",7,0.278,0.96,0.922
"3497",7,0.278,0.98,0.916
"3498",7,0.278,1,0.911
"3499",7,0.278,1.01,0.908
"3500",7,0.278,1.02,0.906
"3501",7,0.278,1.03,0.904
"3502",7,0.278,1.04,0.902
"3503",7,0.278,1.05,0.901
"3504",7,0.278,1.06,0.899
"3505",7,0.278,1.07,0.898
"3506",7,0.278,1.08,0.896
"3507",7,0.278,1.09,0.895
"3508",7,0.278,1.1,0.894
"3509",7,0.278,1.12,0.893
"3510",7,0.278,1.14,0.892
"3511",7,0.278,1.16,0.891
"3512",7,0.278,1.18,0.891
"3513",7,0.278,1.2,0.892
"3514",7,0.278,1.3,0.901
"3515",7,0.278,1.4,0.919
"3516",7,0.278,1.5,0.941
"3542",7,0.316,1.14,0.922
"3543",7,0.316,1.16,0.92
"3544",7,0.316,1.18,0.919
"3545",7,0.316,1.2,0.919
"3546",7,0.316,1.3,0.922
"3547",7,0.316,1.4,0.934
"3548",7,0.316,1.5,0.952
"3549",7,0.316,1.6,0.973
"3550",7,0.316,1.7,0.994
"3551",7,0.316,1.8,1.013
"3552",7,0.316,1.9,1.031
"3553",8,0.244,0.5,1.226
"3554",8,0.244,0.6,1.064
"3555",8,0.244,0.7,0.967
"3556",8,0.244,0.8,0.902
"3557",8,0.244,0.9,0.859
"3558",8,0.244,0.92,0.852
"3559",8,0.244,0.94,0.846
"3560",8,0.244,0.96,0.841
"3561",8,0.244,0.98,0.837
"3562",8,0.244,1,0.833
"3563",8,0.244,1.01,0.831
"3564",8,0.244,1.02,0.83
"3565",8,0.244,1.03,0.829
"3566",8,0.244,1.04,0.827
"3567",8,0.244,1.05,0.826
"3568",8,0.244,1.06,0.825
"3569",8,0.244,1.07,0.825
"3570",8,0.244,1.08,0.824
"3571",8,0.244,1.09,0.823
"3572",8,0.244,1.1,0.823
"3573",8,0.244,1.12,0.823
"3574",8,0.244,1.14,0.823
"3575",8,0.244,1.16,0.824
"3576",8,0.244,1.18,0.826
"3577",8,0.244,1.2,0.827
"3578",8,0.244,1.3,0.843
"3579",8,0.244,1.4,0.868
"3580",8,0.244,1.5,0.898
"3581",8,0.244,1.6,0.93
"3582",8,0.244,1.7,0.963
"3583",8,0.244,1.8,0.993
"3588",8,0.278,0.8,1.126
"3589",8,0.278,0.9,1.063
"3590",8,0.278,0.92,1.053
"3591",8,0.278,0.94,1.044
"3592",8,0.278,0.96,1.036
"3593",8,0.278,0.98,1.023
"3594",8,0.278,1,1.022
"3595",8,0.278,1.01,1.018
"3596",8,0.278,1.02,1.015
"3597",8,0.278,1.03,1.012
"3598",8,0.278,1.04,1.009
"3599",8,0.278,1.05,1.007
"3600",8,0.278,1.06,1.004
"3601",8,0.278,1.07,1.002
"3602",8,0.278,1.08,1
"3603",8,0.278,1.09,0.998
"3604",8,0.278,1.1,0.996
"3605",8,0.278,1.12,0.993
"3606",8,0.278,1.14,0.99
"3607",8,0.278,1.16,0.987
"3608",8,0.278,1.18,0.986
"3609",8,0.278,1.2,0.984
"3610",8,0.278,1.3,0.984
"3611",8,0.278,1.4,0.992
"3612",8,0.278,1.5,1.005
"3640",8,0.316,1.18,1.017
"3641",8,0.316,1.2,1.015
"3642",8,0.316,1.3,1.009
"3643",8,0.316,1.4,1.011
"3644",8,0.316,1.5,1.02
"3645",8,0.316,1.6,1.032
"3646",8,0.316,1.7,1.046
"3647",8,0.316,1.8,1.06
"3648",8,0.316,1.9,1.073
"3649",9,0.244,0.5,1.382
